gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,vote_error,tp,tn
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.8125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.8046875
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7890625
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7890625
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.78125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.78125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7734375
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.765625
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.765625
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7578125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7578125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.75
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.75
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7421875
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.734375
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.7265625
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.703125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.6953125
4,300,128,20,101,0,tardos,0.25,0.012345259148415182,1.0,0.6640625
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.625
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.6015625
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5625
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5546875
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5546875
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5390625
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5078125
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5078125
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5078125
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.5
4,300,128,20,101,0,hash,0.25,0.01275950270656118,1.0,0.484375
