gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
8,300,128,20,107,0,tardos,0.125,0,capital-gain,0.0018937890923702103,0.10405131944107662,0.04536997571746949,0.007902528123376917,189.37701544792975,0.006234452258837231,0.5493976416380126
8,300,128,20,107,0,tardos,0.125,0,capital-loss,0.0015847418854641685,0.034854331447167604,0.019158228736908,0.0014344700838151848,6.903135653081904,0.0038696600227264843,0.9670291197894959
8,300,128,20,107,0,tardos,0.125,0,hours-per-week,1.5982560832418474e-05,0.003907257084139238,0.0028706948484526463,3.29433866258803e-05,0.05070483093271058,0.001996253186327207,0.9999999346522318
8,300,128,20,108,0,tardos,0.125,0,age,0.0002532654200567286,0.000474110968133536,0.0007139558815408106,2.0377255125347355e-06,0.01848837566413797,0.0007370780995669124,1.0
8,300,128,20,108,0,tardos,0.125,0,fnlwgt,8.868640945415653e-05,0.0010884756702733646,0.0015260293529147867,9.313464511899537e-06,210.77638893154358,0.0013513098492061726,1.0
8,300,128,20,108,0,tardos,0.125,0,education-num,2.6616709151028316e-05,0.00031823959953084104,0.00044309032238500865,7.870662273981178e-07,0.00039925063726544124,9.213476244587012e-05,1.0
8,300,128,20,108,0,tardos,0.125,0,capital-gain,0.0016994881413449747,0.10207016335817945,0.04319501075373443,0.0071945728846399565,169.94711464635395,0.005190258284450744,0.7707473653250427
8,300,128,20,108,0,tardos,0.125,0,capital-loss,0.0013368494575795003,0.030598107707750795,0.017355660014443924,0.0011721526459267137,5.823316237216259,0.0034089862104971225,0.9912060822266394
8,300,128,20,108,0,tardos,0.125,0,hours-per-week,0.00017142079951665845,0.0035507775359075334,0.002997461563922395,3.5862916098755153e-05,0.045852400110561395,0.0019348300113632977,0.9999999798554688
8,300,128,20,109,0,tardos,0.125,0,age,0.00030080527465203236,0.0005687916122546097,0.0010052934967833404,4.036898447507013e-06,0.022327324099382855,0.0009520592119406923,1.0
8,300,128,20,109,0,tardos,0.125,0,fnlwgt,8.214437118346383e-05,0.0018287702647531467,0.0016134585448510414,1.0383140559431655e-05,184.27566720923946,0.0011977519117963853,1.0
8,300,128,20,109,0,tardos,0.125,0,education-num,0.0,0.0,0.0,0.0,0.0,0.0,1.0
