gamma,k,fingerprint_length,n_recipients,sk,embedding_ratio,vote_error,tp,tn
2,300,64,20,101,0.5,0.02353060328820769,1.0,0.484375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.5
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.46875
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.53125
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.4375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.515625
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.546875
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.578125
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.453125
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.53125
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.484375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.34375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.484375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.53125
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.609375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.546875
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.5
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.59375
2,300,64,20,102,0.5,0.024110218140068886,1.0,0.546875
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.53125
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.546875
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.546875
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.5
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.484375
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.5
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.515625
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.546875
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.625
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.46875
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.53125
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.578125
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.375
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.5625
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.578125
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.46875
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.609375
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.515625
2,300,64,20,103,0.5,0.023329780574870156,1.0,0.46875
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.5625
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.578125
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.53125
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.40625
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.421875
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.5
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.5
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.53125
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.375
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.484375
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.5
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.484375
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.453125
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.5625
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.59375
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.578125
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.5625
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.53125
2,300,64,20,104,0.5,0.02353891826374128,1.0,0.4375
2,300,64,20,105,0.5,0.023242710240878997,1.0,0.53125
2,300,64,20,105,0.5,0.023242710240878997,1.0,0.46875
2,300,64,20,105,0.5,0.023242710240878997,1.0,0.5
2,300,64,20,105,0.5,0.023242710240878997,1.0,0.515625
