gamma,k,fingerprint_length,n_recipients,sk,vote_error,tp,tn
32,300,64,20,103,0.020697167755991286,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.5
32,300,64,20,103,0.020697167755991286,1.0,0.484375
32,300,64,20,103,0.020697167755991286,1.0,0.5
32,300,64,20,103,0.020697167755991286,1.0,0.515625
32,300,64,20,103,0.020697167755991286,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.625
32,300,64,20,103,0.020697167755991286,1.0,0.46875
32,300,64,20,103,0.020697167755991286,1.0,0.53125
32,300,64,20,103,0.020697167755991286,1.0,0.578125
32,300,64,20,103,0.020697167755991286,1.0,0.375
32,300,64,20,103,0.020697167755991286,1.0,0.5625
32,300,64,20,103,0.020697167755991286,1.0,0.578125
32,300,64,20,103,0.020697167755991286,1.0,0.46875
32,300,64,20,103,0.020697167755991286,1.0,0.609375
32,300,64,20,103,0.020697167755991286,1.0,0.515625
32,300,64,20,103,0.020697167755991286,1.0,0.46875
32,300,64,20,104,0.02054794520547945,1.0,0.5625
32,300,64,20,104,0.02054794520547945,1.0,0.578125
32,300,64,20,104,0.02054794520547945,1.0,0.53125
32,300,64,20,104,0.02054794520547945,1.0,0.40625
32,300,64,20,104,0.02054794520547945,1.0,0.421875
32,300,64,20,104,0.02054794520547945,1.0,0.5
32,300,64,20,104,0.02054794520547945,1.0,0.5
32,300,64,20,104,0.02054794520547945,1.0,0.53125
32,300,64,20,104,0.02054794520547945,1.0,0.375
32,300,64,20,104,0.02054794520547945,1.0,0.484375
32,300,64,20,104,0.02054794520547945,1.0,0.5
32,300,64,20,104,0.02054794520547945,1.0,0.484375
32,300,64,20,104,0.02054794520547945,1.0,0.453125
32,300,64,20,104,0.02054794520547945,1.0,0.5625
32,300,64,20,104,0.02054794520547945,1.0,0.59375
32,300,64,20,104,0.02054794520547945,1.0,0.578125
32,300,64,20,104,0.02054794520547945,1.0,0.5625
32,300,64,20,104,0.02054794520547945,1.0,0.53125
32,300,64,20,104,0.02054794520547945,1.0,0.4375
32,300,64,20,105,0.021897810218978103,1.0,0.53125
32,300,64,20,105,0.021897810218978103,1.0,0.46875
32,300,64,20,105,0.021897810218978103,1.0,0.5
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.4375
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.546875
32,300,64,20,105,0.021897810218978103,1.0,0.53125
32,300,64,20,105,0.021897810218978103,1.0,0.5
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,105,0.021897810218978103,1.0,0.53125
32,300,64,20,105,0.021897810218978103,1.0,0.59375
32,300,64,20,105,0.021897810218978103,1.0,0.40625
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.421875
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.546875
32,300,64,20,106,0.019584802193497845,1.0,0.421875
32,300,64,20,106,0.019584802193497845,1.0,0.609375
32,300,64,20,106,0.019584802193497845,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.578125
32,300,64,20,106,0.019584802193497845,1.0,0.46875
32,300,64,20,106,0.019584802193497845,1.0,0.515625
32,300,64,20,106,0.019584802193497845,1.0,0.546875
32,300,64,20,106,0.019584802193497845,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.5625
32,300,64,20,106,0.019584802193497845,1.0,0.484375
32,300,64,20,106,0.019584802193497845,1.0,0.546875
32,300,64,20,106,0.019584802193497845,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.484375
32,300,64,20,106,0.019584802193497845,1.0,0.5625
32,300,64,20,106,0.019584802193497845,1.0,0.515625
32,300,64,20,106,0.019584802193497845,1.0,0.484375
32,300,64,20,106,0.019584802193497845,1.0,0.5
32,300,64,20,106,0.019584802193497845,1.0,0.328125
32,300,64,20,107,0.01947463768115942,1.0,0.453125
32,300,64,20,107,0.01947463768115942,1.0,0.5
32,300,64,20,107,0.01947463768115942,1.0,0.484375
32,300,64,20,107,0.01947463768115942,1.0,0.578125
32,300,64,20,107,0.01947463768115942,1.0,0.46875
32,300,64,20,107,0.01947463768115942,1.0,0.578125
32,300,64,20,107,0.01947463768115942,1.0,0.421875
32,300,64,20,107,0.01947463768115942,1.0,0.5
32,300,64,20,107,0.01947463768115942,1.0,0.53125
32,300,64,20,107,0.01947463768115942,1.0,0.53125
32,300,64,20,107,0.01947463768115942,1.0,0.625
