gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,accuracy,Horizontal_Distance_To_Hydrology-Vertical_Distance_To_Hydrology,Elevation-Horizontal_Distance_To_Roadways,Aspect-Hillshade_9am,Slope-Hillshade_Noon,Aspect-Hillshade_3pm,Hillshade_9am-Hillshade_3pm
2,300,128,20,100,16,0.5,16,0.042133333333333335,0.007310964285291162,0.00035890409028356394,0.0027076282588022124,0.00368201123473793,0.00486686338200226,0.004919766378819679
2,300,128,20,100,17,0.5,17,0.041924242424242426,0.009523719457098198,0.0006876178302110207,0.004448799227309666,0.0031794044755193967,0.004503598613134063,0.003906481674277336
2,300,128,20,100,18,0.5,18,0.04213636363636364,0.007665254292615176,0.0013881009086638921,0.002620070355393787,0.002284274666156209,0.005329409962461278,0.0040655147247996475
2,300,128,20,100,19,0.5,19,0.04216060606060606,0.012506670638628037,0.0006888682523725789,0.00211039007505065,0.002162795081940401,0.0053942346693284,0.0039383389471004
2,300,128,20,101,0,0.5,0,0.04252424242424242,0.02352739817450041,0.0019137539433138834,0.001726087483599141,0.003749946938785817,0.005162259980962688,0.0034513015620937443
2,300,128,20,102,0,0.5,0,0.042503030303030306,0.02029790524038873,0.000600761295584488,0.004487146945048976,0.0028629146954337907,0.0038279097482334635,0.0036808742366876627
2,300,128,20,103,0,0.5,0,0.04294848484848485,0.015436188230353544,0.0012782441752072005,0.002923155115802172,0.0003587058869033371,0.004935678986180499,0.0044967487427063964
2,300,128,20,104,0,0.5,0,0.042351515151515154,0.020191115366583787,0.002637132759906919,0.0015020616929574092,0.002202547511177038,0.003668152193875405,0.003965424149617883
2,300,128,20,105,0,0.5,0,0.04242727272727273,0.020454461824842753,0.001141972182650873,0.003273539438209141,0.004662461691999868,0.003835218870284947,0.0028159608896377764
2,300,128,20,106,0,0.5,0,0.04211818181818182,0.01909500723234567,0.0040588440651181225,0.0046580430048401116,0.0026128878585754464,0.004699697475099339,0.003542277008075406
2,300,128,20,107,0,0.5,0,0.04216969696969697,0.024771903127629766,0.0011330885228995216,0.0031898710892821294,0.0020009627712469216,0.004989913785382622,0.0044304349148999505
2,300,128,20,108,0,0.5,0,0.04255151515151515,0.024323116083812883,0.00475347668200078,6.184463373873407e-05,0.005713723515241348,0.0060950917555298665,0.004702729561492208
2,300,128,20,109,0,0.5,0,0.04228484848484849,0.01974565303126366,0.005219852446026099,0.0023324237617501483,0.004312761731869963,0.004073349417696034,0.004531245778039601
2,300,256,20,100,0,0.5,0,0.04198787878787879,0.010780805713748589,0.0014520572419643644,0.003483011309287051,0.0014329749682782135,0.005356249940077157,0.0047938498264528005
2,300,256,20,101,0,0.5,0,0.04234545454545455,0.025011619360494182,0.0012243370735364285,0.00034375240992715506,0.0035373989302698926,0.0033706112118915372,0.003527343045007442
2,300,256,20,102,0,0.5,0,0.04251515151515151,0.02051199647071077,0.0020001108865609183,0.003751391083347862,0.00278822682813261,0.0032519952561727784,0.002922969988976815
2,300,256,20,103,0,0.5,0,0.04304242424242424,0.016225493359354595,0.0026713755741046277,0.0028143747139586597,0.0014372200061366792,0.004594924138243732,0.003784861412891724
2,300,256,20,104,0,0.5,0,0.04237272727272727,0.020966696243191293,0.002188977178915896,0.0026662910521426273,0.0016447396873501908,0.003560283019886596,0.0038850761453190063
2,300,256,20,105,0,0.5,0,0.042393939393939394,0.017142887203935628,0.00029750403318542194,0.0035058845126235832,0.0032467630910535685,0.004511188328954774,0.0034325560153973577
2,300,256,20,106,0,0.5,0,0.042133333333333335,0.017948495724767345,0.005156311627751361,0.004756680010815804,0.0030450792865316443,0.004356848383230222,0.003546681816222627
2,300,256,20,107,0,0.5,0,0.04213939393939394,0.02068409593782442,0.0007104483378425979,0.001971481695341675,0.001608884711679223,0.006044825196272339,0.003144770414296385
2,300,256,20,108,0,0.5,0,0.04256969696969697,0.022567279953795573,0.0032602114824617323,0.0012761604631438463,0.004155963808206278,0.004844484849715245,0.004880026617130203
2,300,256,20,109,0,0.5,0,0.04223333333333333,0.01664355928193695,0.0016718591980829228,0.003283366977349152,0.005164257219046436,0.004587876526750172,0.00421402552894988
