gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std
2,300,128,20,101,0,0.5,0,Cover_Type,0.0046722222222222625,0.0011438697653588185
2,300,128,20,102,0,0.5,0,Id,0.0,0.0
2,300,128,20,102,0,0.5,0,Elevation,0.0005624034911043484,0.003345607664051589
2,300,128,20,102,0,0.5,0,Aspect,0.00019972222222222057,0.0001859452685976512
2,300,128,20,102,0,0.5,0,Slope,0.00018360655737705809,0.0018157685554469713
2,300,128,20,102,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0017961528915363717,0.004590754147982058
2,300,128,20,102,0,0.5,0,Vertical_Distance_To_Hydrology,0.0006405238095238072,0.011812425004565441
2,300,128,20,102,0,0.5,0,Horizontal_Distance_To_Roadways,0.00047159383635430983,0.0029040269875911413
2,300,128,20,102,0,0.5,0,Hillshade_9am,0.0001274278215222878,0.0018207095904094418
2,300,128,20,102,0,0.5,0,Hillshade_Noon,0.000213978494623608,0.0025855839214520724
2,300,128,20,102,0,0.5,0,Hillshade_3pm,2.27150537635073e-05,0.0015083364373104644
2,300,128,20,102,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0012832124930284969,0.00011451630220136944
2,300,128,20,102,0,0.5,0,Cover_Type,0.00496111111111112,0.0008021135335912258
2,300,128,20,103,0,0.5,0,Id,0.0,0.0
2,300,128,20,103,0,0.5,0,Elevation,0.0007386706948640978,0.0016831864463126406
2,300,128,20,103,0,0.5,0,Aspect,0.0003211111111111128,0.00026586215724552396
2,300,128,20,103,0,0.5,0,Slope,4.371584699453071e-06,0.0010617775739494234
2,300,128,20,103,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0019064035740878722,0.004922348755393104
2,300,128,20,103,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007840476190476205,0.011207789242578077
2,300,128,20,103,0,0.5,0,Horizontal_Distance_To_Roadways,0.0006801554962297243,0.0028864840406352715
2,300,128,20,103,0,0.5,0,Hillshade_9am,0.00013556430446196667,0.0028440245227893774
2,300,128,20,103,0,0.5,0,Hillshade_Noon,0.0003275268817204843,0.004018611001103824
2,300,128,20,103,0,0.5,0,Hillshade_3pm,2.1639784946267304e-05,0.00047251221899335965
2,300,128,20,103,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0023667735489567637,0.0005153982644492321
2,300,128,20,103,0,0.5,0,Cover_Type,0.00512222222222225,0.0007166147659545636
2,300,128,20,104,0,0.5,0,Id,0.0,0.0
2,300,128,20,104,0,0.5,0,Elevation,0.0005846760657939369,0.0024021013879336204
2,300,128,20,104,0,0.5,0,Aspect,8.055555555586125e-06,0.00020238600555377186
2,300,128,20,104,0,0.5,0,Slope,0.00036229508196721324,0.002256735323518968
