gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,Horizontal_Distance_To_Hydrology_Vertical_Distance_To_Hydrology,Elevation_Horizontal_Distance_To_Roadways,Aspect_Hillshade_9am,Slope_Hillshade_Noon,Aspect_Hillshade_3pm,Hillshade_9am_Hillshade_3pm
4,300,64,20,102,0,0.25,0,0.053726165784097474,0.00013886569461085303,-0.0010484797072768445,-0.0214633152401552,0.0002612728098613363,-0.0006126726187609597
4,300,64,20,103,0,0.25,0,0.046635319700295566,0.0018326084331191743,-0.00014435413794485188,-0.022052339450579616,0.00046390118579014495,-0.0009142085384641903
4,300,64,20,104,0,0.25,0,0.05704741000654989,0.0012252943057055124,-0.0009226887492306299,-0.016499213263430103,0.0003432758818089546,-0.00032769840938868524
4,300,64,20,105,0,0.25,0,0.05028114038190956,0.0011397480468421858,-0.0023711590489304294,-0.013432899922403405,0.00022823321977372252,-0.0002200723323488186
4,300,64,20,106,0,0.25,0,0.04915929776623127,0.0013458393841190882,-0.0003515460950065473,-0.01649174044100159,0.0003034402693492312,-0.00017062140053160246
4,300,64,20,107,0,0.25,0,0.05625400055660068,0.0004101997448707874,-0.0005898509088868775,-0.018759142875081625,0.0005035899119381408,-0.0003534796680901555
4,300,64,20,108,0,0.25,0,0.04753570071274057,0.002421548462791138,-0.000627481651587848,-0.017708899012251776,0.0007011092857522602,-0.0002498500798028509
4,300,64,20,109,0,0.25,0,0.049079287947289926,0.0028919257999333154,-0.0003797044609976492,-0.0206145978780754,0.0005996609569123781,-8.732987637466624e-05
4,300,128,20,100,0,0.25,0,0.05081777872591387,0.0005690208091002658,-0.0017017667943368022,-0.02375050927438741,0.0002822476465177724,-4.225713144821069e-05
4,300,128,20,101,0,0.25,0,0.05436848392332905,0.0008360117251101339,-0.00010647910112802946,-0.02024904807306705,0.00028341355153898543,-0.0006232451721160226
4,300,128,20,102,0,0.25,0,0.05356655261935377,0.0002961416082005283,-0.0013409836396855962,-0.021874325357186596,0.00014808830622431638,-0.0005283453807354567
4,300,128,20,103,0,0.25,0,0.04667433036004736,0.001912066841972925,-0.0008761812730828021,-0.02251029875147081,0.0004804262037438175,-7.580624961458016e-05
4,300,128,20,104,0,0.25,0,0.055706228312258826,0.0003477419722291741,-0.001391878244473459,-0.015385059743354749,0.0009699769068400226,-3.321485991552947e-05
4,300,128,20,105,0,0.25,0,0.0510900485322965,0.0023992584660255632,-0.0011077785183864104,-0.014587142840464107,0.00021661360194928577,-0.00033601594873882963
4,300,128,20,106,0,0.25,0,0.05205533232269875,0.0025938522672797034,-0.000630979500868926,-0.016374810847650273,3.994437186877595e-05,-0.00029076664625942534
4,300,128,20,107,0,0.25,0,0.058055391124327206,0.00040669243624633105,-0.0011309267632137116,-0.01873244224467762,0.0007881277927283927,-0.00016184536173282656
4,300,128,20,108,0,0.25,0,0.05064062525550549,0.0021955918114388204,-2.1211452307073076e-05,-0.017018849594263922,0.0005194944289960158,-0.00036897343612190913
4,300,128,20,109,0,0.25,0,0.04976974958776473,0.003698720312251185,-0.0005209642745201244,-0.019025926285492625,0.0010280434815474922,-2.875282731315968e-05
4,300,256,20,100,0,0.25,0,0.04944458957950535,0.001021222864567479,-0.00122341610059204,-0.023001646314518075,0.00021242540840721137,-0.0002946542922619511
4,300,256,20,101,0,0.25,0,0.054440697884694945,0.0007553387523738979,-0.0008335411753149793,-0.021792813475994138,6.202930486281061e-05,-0.00041921880378001483
4,300,256,20,102,0,0.25,0,0.05176547031951771,0.0014836561015000493,-0.0003723261688044256,-0.019723863925902318,0.00019446326395879243,-0.0005944708110417739
4,300,256,20,103,0,0.25,0,0.04806471103032124,0.002497606922734365,-7.583570235339694e-05,-0.022642806259567393,0.00026758542202685376,-9.908992586980023e-05
4,300,256,20,104,0,0.25,0,0.061268852280136815,0.0006857249352514295,-0.001399346948286028,-0.01624881284152628,0.0005938996220803205,-0.00038953596302684435
4,300,256,20,105,0,0.25,0,0.05443982747768181,0.0012864414158369807,-0.0007013355020730689,-0.013385779751650794,0.0003874379988423011,-0.00016146836121123378
4,300,256,20,106,0,0.25,0,0.04791144827121868,0.0016756646293222613,-0.0012975702464994546,-0.015106719048715543,1.3686254939836595e-05,-0.0007740308474803983
4,300,256,20,107,0,0.25,0,0.05743411630643403,0.0004325351811519129,-0.0009373637157752308,-0.018693364008471762,0.0012567250338517582,-0.0006405027953079491
4,300,256,20,108,0,0.25,0,0.04807294307875337,0.0018697074571539488,-0.00023478341283814487,-0.017667740232461822,0.000687958767371274,-7.300156582874244e-05
4,300,256,20,109,0,0.25,0,0.049844452012054875,0.0005841610723517874,-0.0009725739086763238,-0.017747328663999112,9.490167370315765e-05,-0.00047985405567086754
4,500,64,20,100,0,0.25,0,0.05464144806514166,0.0003006720895386628,-0.001394613284130463,-0.026110989451888212,0.0005082941400462607,-0.00023551511700679024
4,500,64,20,101,0,0.25,0,0.059254722050969225,0.0010206342119871252,-0.0001700409459115628,-0.023538082604963616,0.00026517905675650915,-0.00043337247143846385
4,500,64,20,102,0,0.25,0,0.05579376618819539,0.0004612102477044202,-0.0013902253138733823,-0.023977175846872117,0.0006025182719631221,-0.00026618434235538085
4,500,64,20,103,0,0.25,0,0.04863370216015087,0.002635760542263217,-0.0006296290995632971,-0.024500661396025008,0.00035798129323822184,-0.0005031890801425169
4,500,64,20,104,0,0.25,0,0.06100778526374665,0.0009225844044967056,-0.00043790291325907285,-0.01940757944974104,0.0005659679473858285,-0.0005423090289522597
4,500,64,20,105,0,0.25,0,0.05283029459410907,0.0005666299908432087,-0.002431321459587785,-0.01586427470206217,0.00011073725840373212,-0.00022536741639813453
4,500,64,20,106,0,0.25,0,0.05195640346951234,0.0008242161270676659,-0.0007793395359609125,-0.017710241854845068,0.00032918007384877875,-0.0002293953000507994
