gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,128,20,100,3,random_flip,1,0.125,[ 3  9 15],"[62.38324625 60.30380471 61.69009907 67.92842369 59.61065753 58.22436317
 60.30380471 60.30380471 63.76954061 65.84898215 63.07639343 63.76954061
 60.30380471 58.22436317 66.54212933 69.31471806 59.61065753 58.91751035
 60.30380471 59.61065753]",4,3,0.75,1,0.25,1.0
8,300,128,20,100,3,random_flip,1,0.125,[19 10  8],"[58.22436317 61.69009907 62.38324625 56.83806881 59.61065753 60.99695189
 60.99695189 59.61065753 65.84898215 59.61065753 67.92842369 60.30380471
 62.38324625 58.91751035 58.91751035 60.99695189 59.61065753 61.69009907
 60.30380471 70.00786524]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,random_flip,1,0.125,[ 2  6 17],"[59.61065753 63.76954061 67.92842369 60.30380471 64.46268779 63.07639343
 71.3941596  64.46268779 66.54212933 63.07639343 59.61065753 67.23527651
 64.46268779 58.91751035 62.38324625 58.91751035 61.69009907 72.78045396
 54.75862726 58.91751035]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,random_flip,1,0.125,[9 4 8],"[65.84898215 65.15583497 65.84898215 63.76954061 71.3941596  62.38324625
 65.84898215 68.62157088 71.3941596  67.92842369 63.76954061 67.23527651
 65.15583497 65.84898215 63.76954061 65.15583497 60.99695189 65.15583497
 59.61065753 63.76954061]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
8,300,128,20,100,3,random_flip,1,0.125,[12 15  2],"[66.54212933 64.46268779 69.31471806 63.07639343 63.76954061 63.07639343
 65.15583497 66.54212933 66.54212933 63.07639343 62.38324625 66.54212933
 67.23527651 62.38324625 65.15583497 68.62157088 63.76954061 63.07639343
 60.30380471 63.76954061]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,random_flip,1,0.125,[19  3 16],"[63.76954061 61.69009907 58.91751035 65.84898215 60.30380471 61.69009907
 58.22436317 59.61065753 57.53121599 59.61065753 63.76954061 57.53121599
 64.46268779 62.38324625 60.30380471 57.53121599 70.70101242 62.38324625
 57.53121599 68.62157088]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,random_flip,1,0.125,[18 11  8],"[63.07639343 63.76954061 63.76954061 61.69009907 65.15583497 58.91751035
 66.54212933 65.15583497 72.78045396 65.15583497 58.91751035 70.00786524
 66.54212933 62.38324625 60.99695189 65.84898215 60.99695189 67.92842369
 65.15583497 68.62157088]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
8,300,128,20,100,3,random_flip,1,0.125,[ 3 11  4],"[65.15583497 62.38324625 63.07639343 73.47360114 67.92842369 61.69009907
 61.69009907 63.07639343 58.91751035 62.38324625 63.76954061 69.31471806
 63.76954061 60.99695189 58.91751035 63.76954061 60.30380471 65.15583497
 59.61065753 60.30380471]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,random_flip,1,0.125,[17  6 16],"[64.46268779 58.91751035 63.76954061 61.69009907 65.84898215 59.61065753
 68.62157088 62.38324625 62.38324625 58.91751035 60.30380471 63.76954061
 59.61065753 60.30380471 58.91751035 62.38324625 70.00786524 74.16674832
 60.30380471 58.22436317]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,random_flip,1,0.125,[15  2 18],"[63.07639343 61.69009907 69.31471806 67.23527651 59.61065753 62.38324625
 64.46268779 66.54212933 61.69009907 63.76954061 65.15583497 63.07639343
 63.07639343 60.99695189 66.54212933 65.15583497 58.22436317 60.30380471
 68.62157088 60.99695189]",5,2,0.4,3,0.6,0.6666666666666667
