gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,128,20,100,10,avg,1,0.125,[17  5 16 11  7  6  0  2  9  3],"[75.55304268 72.78045396 74.8598955  70.00786524 73.47360114 72.78045396
 72.78045396 79.01877858 72.08730678 73.47360114 70.00786524 76.93933704
 70.70101242 70.00786524 69.31471806 67.92842369 71.3941596  76.24618986
 67.92842369 66.54212933]",4,4,1.0,0,0.0,0.4
8,300,128,20,100,10,avg,1,0.125,[14 13  3 16 11 17 19  1  4  2],"[75.55304268 74.16674832 75.55304268 74.16674832 76.24618986 71.3941596
 66.54212933 76.93933704 75.55304268 71.3941596  70.00786524 71.3941596
 72.08730678 72.08730678 74.16674832 69.31471806 70.70101242 78.3256314
 65.84898215 70.00786524]",3,2,0.6666666666666666,1,0.3333333333333333,0.1999999999999999
8,300,256,20,100,2,avg,1,0.125,[ 3 11],"[124.7664925  126.15278686 124.07334532 147.64034946 127.53908122
 125.45963968 118.52816788 128.2322284  131.69796431 129.61852276
 125.45963968 149.719791   129.61852276 126.84593404 127.53908122
 126.15278686 124.07334532 124.7664925  125.45963968 127.53908122]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[13 11],"[131.00481713 129.61852276 127.53908122 127.53908122 124.7664925
 128.2322284  124.7664925  131.69796431 138.62943611 130.31166995
 130.31166995 153.87867408 131.00481713 151.10608536 127.53908122
 124.7664925  123.38019814 128.2322284  125.45963968 124.7664925 ]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[18 10],"[130.31166995 126.84593404 128.2322284  131.00481713 130.31166995
 129.61852276 124.07334532 135.16370021 129.61852276 129.61852276
 151.10608536 126.84593404 129.61852276 128.2322284  126.84593404
 118.52816788 127.53908122 129.61852276 153.1855269  125.45963968]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[15  5],"[126.84593404 124.07334532 124.07334532 129.61852276 128.2322284
 155.95811563 129.61852276 121.3007566  129.61852276 126.15278686
 125.45963968 131.69796431 121.99390378 122.68705096 128.2322284
 140.70887765 124.7664925  121.3007566  121.99390378 127.53908122]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[3 8],"[131.00481713 137.93628893 129.61852276 150.41293818 128.2322284
 126.84593404 128.92537558 129.61852276 159.42385153 126.84593404
 130.31166995 126.15278686 131.69796431 133.77740585 135.85684739
 124.7664925  126.84593404 130.31166995 126.84593404 131.00481713]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[3 9],"[133.08425867 128.92537558 130.31166995 153.87867408 129.61852276
 127.53908122 128.2322284  131.00481713 128.92537558 152.49237972
 131.00481713 126.84593404 127.53908122 124.7664925  135.16370021
 122.68705096 131.69796431 128.2322284  132.39111149 125.45963968]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[12 18],"[124.07334532 128.2322284  122.68705096 134.47055303 132.39111149
 121.3007566  126.84593404 130.31166995 129.61852276 130.31166995
 132.39111149 128.2322284  147.64034946 122.68705096 126.15278686
 118.52816788 131.69796431 124.7664925  155.26496845 129.61852276]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[15  8],"[124.7664925  129.61852276 124.7664925  129.61852276 124.07334532
 126.15278686 128.92537558 127.53908122 153.87867408 125.45963968
 122.68705096 133.08425867 124.07334532 130.31166995 128.2322284
 146.2540551  124.7664925  123.38019814 124.07334532 133.08425867]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[1 0],"[146.94720228 155.26496845 128.92537558 128.92537558 124.7664925
 122.68705096 131.69796431 134.47055303 136.54999457 133.08425867
 129.61852276 128.2322284  127.53908122 132.39111149 129.61852276
 122.68705096 127.53908122 129.61852276 128.92537558 121.3007566 ]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,2,avg,1,0.125,[17  7],"[132.39111149 130.31166995 128.2322284  129.61852276 134.47055303
 121.99390378 130.31166995 150.41293818 133.77740585 133.77740585
 131.00481713 134.47055303 124.07334532 126.84593404 130.31166995
 121.3007566  130.31166995 155.26496845 128.2322284  122.68705096]",2,2,1.0,0,0.0,1.0
8,300,256,20,100,3,avg,1,0.125,[14  7  3],"[135.16370021 136.54999457 135.85684739 151.10608536 139.32258329
 131.69796431 126.15278686 152.49237972 139.32258329 138.62943611
 135.85684739 133.08425867 138.62943611 136.54999457 161.50329307
 136.54999457 134.47055303 137.24314175 132.39111149 134.47055303]",3,3,1.0,0,0.0,1.0
