gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
4,300,128,20,101,0,tardos,0.25,0,0.9,0.8359375,0.125,0.933595131635835,0.00392697453752467,,,,,,,,
4,300,128,20,101,0,tardos,0.25,1,0.9,0.984375,0.125,0.9336894994505318,0.0053424917579775735,,,,,,,,
4,300,128,20,101,0,tardos,0.25,2,0.9,0.3828125,0.125,0.9333462709617848,0.00019406442677244015,,,,,,,,
4,300,128,20,102,0,tardos,0.25,0,0.1,1.0,0.875,0.14407452916345226,0.012393687496291076,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,0.0009582986114550975,0.024901725820619162,,0.04353586475572119
4,300,128,20,102,0,tardos,0.25,1,0.1,1.0,0.875,0.14431998053075853,0.012676900612413668,,0.001881558359589229,,,0.0009582986114550975,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,2,0.1,1.0,0.875,0.14460129574113018,0.013001495085919464,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,0.0009582986114550975,,0.0015265973847335094,
4,300,128,20,102,0,tardos,0.25,0,0.2,1.0,0.8125,0.2105752811498617,0.013219101437327139,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,0.0009582986114550975,0.024901725820619162,,0.04353586475572119
4,300,128,20,102,0,tardos,0.25,1,0.2,1.0,0.8125,0.20853363255313048,0.010667040691413087,,0.001881558359589229,,,0.0009582986114550975,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,2,0.2,1.0,0.8125,0.21124283917132777,0.014053548964159708,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.3,1.0,0.75,0.27722348280473147,0.01439565837008835,0.012749853872078554,,,0.03159469400290905,0.0009582986114550975,0.024901725820619162,,0.04353586475572119
4,300,128,20,102,0,tardos,0.25,1,0.3,1.0,0.75,0.2750343845395399,0.011410524372099884,,0.001881558359589229,,,0.0009582986114550975,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,2,0.3,1.0,0.75,0.27545649119369975,0.011986124355045074,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.4,1.0,0.625,0.410360343898487,0.017267239830811708,0.012749853872078554,,,0.03159469400290905,,0.024901725820619162,,0.04353586475572119
4,300,128,20,102,0,tardos,0.25,1,0.4,1.0,0.625,0.4073166095496103,0.012194349249350462,,0.001881558359589229,,,0.0009582986114550975,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,2,0.4,1.0,0.625,0.40859335228745525,0.014322253812425486,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.5,1.0,0.5,0.5430990559567479,0.020926548478745276,,,,,,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,1,0.5,0.9921875,0.5,0.5406201529339226,0.015614613429834279,,,,,,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,2,0.5,1.0,0.5,0.535980296939446,0.005672064870241393,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.6,0.9921875,0.4375,0.6093470015980007,0.023367503995001763,,,,,,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,1,0.6,0.953125,0.4375,0.6070791342560596,0.01769783564014933,,,,,,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,2,0.6,1.0,0.4375,0.6020145763082635,0.005036440770658587,0.012749853872078554,0.001881558359589229,0.011121676829789845,0.03159469400290905,,,,
4,300,128,20,102,0,tardos,0.25,0,0.7,0.9140625,0.375,0.6735606536203727,0.02068196086111798,,,,,,0.024901725820619162,,
4,300,128,20,102,0,tardos,0.25,1,0.7,0.9921875,0.375,0.6737206776862573,0.02116203305877189,,,,,,0.024901725820619162,,
