gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
2,300,64,20,107,0,0.5,0,Hillshade_3pm,2.5806451612957686e-05,0.0015081228296213,0.0021458289723235,1.8458544663529476e-05,0.0549333333333333,0.0010666666666666,1.0
2,300,64,20,107,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0025957340025094,0.0010079191617948,0.0039703378481266,6.301629667488749e-05,18.880266666666667,0.0047666666666666,0.8833154394784103
2,300,64,20,108,0,0.5,0,Elevation,0.0010044645854312,0.0028874626861264,0.0043696570450433,7.625631052130624e-05,2.1346666666666665,0.0040666666666666,0.9643182124320652
2,300,64,20,108,0,0.5,0,Aspect,7.166666666667728e-05,9.360769842322287e-05,0.0009359648481061,3.5048261389864974e-06,0.078266666666667,0.0008333333333333,1.0
2,300,64,20,108,0,0.5,0,Slope,0.000155737704918,0.001980356933661,0.0035576566905519,5.039746783658533e-05,0.0265666666666666,0.0018333333333333,0.9999999996502345
2,300,64,20,108,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0015222884090344,0.0027684798829929,0.0054942586377347,0.0001203587609735,2.113833333333332,0.0064666666666666,0.5549856075223237
2,300,64,20,108,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009350952380952,0.0162256708660504,0.0119483816245489,0.00056443723854,0.928566666666668,0.0083333333333334,0.2471789496688403
2,300,64,20,108,0,0.5,0,Horizontal_Distance_To_Roadways,0.0010320828064259,0.0040200236179476,0.0027019642399319,2.9273504097152336e-05,7.958733333333339,0.0025,0.9999823788265192
2,300,64,20,108,0,0.5,0,Hillshade_9am,9.33070866141376e-05,0.0017378231187789,0.0015582155152782,9.728129267396504e-06,0.0380333333333329,0.0007333333333332,1.0
2,300,64,20,108,0,0.5,0,Hillshade_Noon,0.0001273118279569,0.0018528856701205,0.0022304357625056,1.9961112495620272e-05,0.0322,0.0010333333333333,1.0
2,300,64,20,108,0,0.5,0,Hillshade_3pm,2.2311827957042303e-05,0.0012616853500117,0.0018456657801574,1.365186498906852e-05,0.0528,0.0010333333333333,1.0
2,300,64,20,108,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.001852274733956,0.0003352227978694,0.003712377351964,5.505279261621312e-05,13.7773,0.0040333333333333,0.9668522127488804
2,300,64,20,109,0,0.5,0,Elevation,0.000722373279624,0.0032119056294384,0.0033888798085254,4.572969380044629e-05,1.637099999999999,0.0037333333333333,0.9845126482949528
2,300,64,20,109,0,0.5,0,Aspect,4.925925925931551e-05,8.1833437636423e-06,0.0010489747639318,4.402753878759663e-06,0.0767999999999996,0.0008333333333333,1.0
2,300,64,20,109,0,0.5,0,Slope,0.0002382513661202,0.0023727743299077,0.0043411129903725,7.538110437072285e-05,0.0294666666666664,0.0028666666666666,0.9996543778926577
2,300,64,20,109,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0013415239513527,0.0024293514762227,0.0056141589149396,0.0001257461121192,1.859066666666665,0.0065999999999999,0.5284628398482507
2,300,64,20,109,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009189523809523,0.0134151447530655,0.0110779594255372,0.0004859976189958,0.8492666666666682,0.0082999999999999,0.2513059078542887
2,300,64,20,109,0,0.5,0,Horizontal_Distance_To_Roadways,0.0004959533511311,0.0024903795559384,0.0022732740798047,2.0707394325529068e-05,4.567300000000005,0.0016666666666667,0.99999999999752
2,300,64,20,109,0,0.5,0,Hillshade_9am,7.860892388455036e-05,0.0021108745673071,0.0018134322708365,1.3178605721931404e-05,0.0407666666666664,0.0007333333333333,1.0
2,300,64,20,109,0,0.5,0,Hillshade_Noon,0.0002627956989248,0.0034489705915362,0.0021370254091787,1.8343533605993383e-05,0.0490666666666669,0.0010666666666666,1.0
2,300,64,20,109,0,0.5,0,Hillshade_3pm,6.599462365592731e-05,0.0017011952509327,0.0019049637732044,1.452687186593398e-05,0.0553666666666662,0.0011666666666666,1.0
2,300,64,20,109,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0020079929364747,0.0014319931087617,0.0037466889436184,5.615340190046625e-05,14.818133333333332,0.0039333333333333,0.9737460203154992
